profile_name,Origin_X,Origin_Y,Azimuth
AB010,"512,630.39","190,408.90",158
AB011,"512,142.03","190,301.64",159
AB012,"511,653.67","190,194.38",159
AB013,"511,195.93","189,994.60",159
AB014,"510,268.58","189,627.89",158
AB015,"509,785.06","189,500.58",158
AB016,"509,306.08","189,359.50",158
AB017,"508,378.21","188,986.71",157
AB018,"507,464.65","188,580.00",156
AB019,"506,556.25","188,161.91",155
AB020,"505,669.13","187,702.39",150
AB021,"504,806.81","187,196.13",149
AB022,"503,950.17","186,680.22",149
AB023,"503,091.37","186,168.17",149
AB024,"502,216.39","185,684.06",149
AB025,"501,355.05","185,176.04",149
AB026,"500,491.98","184,670.95",149
AB027,"499,635.12","184,155.54",148
AB028,"498,786.73","183,626.21",148
AB029,"498,313.72","183,326.46",148
AB030,"497,092.72","182,563.06",148
AB031,"496,244.50","182,033.42",148
AB032,"495,396.58","181,503.30",148
AB033,"494,516.04","181,033.01",147
AB034,"493,388.93","180,225.16",147
AB035,"492,858.68","179,944.39",147
AB036,"492,027.26","179,392.89",146
AB037,"491,218.58","178,804.66",145
AB038,"490,403.84","178,224.96",145
AB039,"489,569.56","177,673.61",145
AB040,"488,716.66","177,151.68",145
AB041,"487,896.53","176,582.53",144
AB042,"487,104.32","175,972.31",143
AB043,"486,337.60","175,332.20",139
AB044,"485,605.90","174,650.58",137
AB045,"484,890.53","173,951.88",137
AB046,"484,160.38","173,268.74",137
AB047,"483,424.73","172,591.37",137
AB048,"482,734.58","171,868.17",137
AB049,"482,324.90","171,429.81",137
AB050,"481,685.64","171,287.63",177
OC100,"476,538.97","168,646.01",60.43
OC101,"476,733.24","168,338.67",44.55
OC102,"476,849.89","168,126.01",61.04
OC103,"476,966.63","167,912.88",44.55
OC104,"477,240.72","167,461.59",42.9
OC105,"477,307.57","167,167.62",87.17
OC105,"477,307.57","167,167.62",87.17
OC106,"477,144.77","166,375.96",98.86
OC107,"477,005.47","165,699.37",104.03
OC108,"476,895.74","165,315.53",104.03
OC109,"476,698.94","165,042.76",128.21
OC110,"476,207.86","164,411.21",128.21
OC111,"475,854.27","163,735.48",130.91
OC112,"475,280.64","163,073.57",135.15
OC113,"474,703.61","162,459.63",135.15
OC114,"474,312.59","162,101.34",137.47
OC115,"473,826.19","161,763.64",154.31
OC116,"473,378.00","161,539.80",152.5
OC117,"472,666.00","161,169.67",155.73
OC118,"472,212.91","160,965.24",155.73
OC119,"471,756.92","160,759.66",155.73
OC120,"471,210.07","160,514.46",156.34
OC121,"470,842.96","160,353.64",156.34
OC122,"470,116.63","160,019.83",149
OC123,"469,517.40","159,659.78",149
OC123,"469,517.40","159,659.78",149
OC124,"469,015.14","159,331.16",143.96
OC125,"468,692.02","159,096.06",143.96
OC126,"467,883.43","158,507.98",143.96
OC127,"467,473.61","158,159.62",137.11
OC128,"467,120.66","157,861.46",139.69
OC129,"466,358.07","157,214.48",139.69
OC130,"465,787.21","156,667.66",137.11
OC131,"465,290.56","156,162.32",134.49
OC132,"464,589.88","155,448.94",134.49
OC133,"463,866.51","154,689.05",130.11
OC134,"463,221.51","153,991.54",132.74
OC135,"462,542.87","153,257.10",132.74
OC136,"461,875.07","152,512.30",131.44
OC136,"461,875.07","152,512.30",131.44
OC137,"461,213.23","151,762.69",131.44
LI048,"430,779.92","104,792.66",25.07
LI047,"430,874.52","104,646.30",193.73
OC138 (OC050),"460,882.31","151,387.83",131.44
OC139 (OC051),"460,528.13","150,986.83",128.11
OC140 (OC052),"459,805.47","150,073.57",128.12
OC141 (OC053),"459,062.61","149,164.25",126.83
