profile_name,Origin_X,Origin_Y,Azimuth,Project,,NSOrder,,Station,,Street,Town,ProjDuneEl,ProjBermEl,ProjBermW,ClosureDep,MHW_Elev,MLW_Elev,StormLine,CSDPLine,
MA110,"612,934.279","408,541.333",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,110,,545+00,54500,btw 7th & 8th Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA111,"612,883.497","408,043.918",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,111,,550+00,55000,btw 9th & Fielder Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA112,"612,821.694","407,557.739",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,112,,555+00,55500,btw. Coolidge & Harding Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA113,"612,746.010","407,063.815",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,113,,560+00,56000,Surf Rd.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA114,"612,670.278","406,569.583",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,114,,565+00,56500,btw Colony & Hiering Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA115,"612,594.547","406,075.352",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,115,,570+00,57000,Sampson Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA116,"612,518.815","405,581.121",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,116,,575+00,57500,btw Carteret & Kearney Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA117,"612,443.084","405,086.889",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,117,,580+00,58000,btw Fremont & Hancock Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA118,"612,367.352","404,592.658",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,118,,585+00,58500,btw Sheridan & Sherman Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA119,"612,291.621","404,098.426",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,119,,590+00,59000,btw Grant & Blaine Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA120,"612,215.889","403,604.195",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,120,,595+00,59500,btw Sumner & Webster Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
MA121,"612,140.158","403,109.963",98.710,"Manasquan Inlet to Barnegat Inlet, NJ",1,121,,600+00,60000,btw Hamilton & Franklin Ave.,"Seaside Heights, NJ",22.00,8.50,40.00,-27.00,1.5,-2.77,No,No,
